               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.073497,            0.036695,            0.062417,              0.3107,             0.29341,             0.23712,             0.10925,             0.05076,            0.019314,            0.038861,            0.070231,           0.0033077,           0.0033077
                   1,            0.054912,            0.032835,            0.038633,             0.56643,             0.52714,             0.54437,             0.25465,            0.048933,            0.018859,            0.021757,            0.040165,           0.0065753,           0.0065753
                   2,            0.052694,            0.032979,            0.026674,             0.48939,             0.43609,             0.41609,             0.19753,            0.046948,            0.022199,            0.025087,            0.010033,           0.0097769,           0.0097769
                   3,            0.048898,            0.034668,             0.02491,             0.48257,             0.43168,             0.41671,             0.19934,            0.046057,            0.022825,            0.022431,            0.009703,            0.009703,            0.009703
                   4,            0.046861,            0.035212,             0.02386,             0.39611,             0.31611,             0.27429,             0.12225,            0.048858,            0.026483,            0.032928,            0.009703,            0.009703,            0.009703
                   5,             0.04594,            0.035544,            0.022903,             0.54179,             0.45115,             0.46018,             0.23374,            0.043233,            0.022635,            0.020157,            0.009604,            0.009604,            0.009604
                   6,             0.04507,            0.035259,            0.021883,             0.56843,              0.4755,             0.49546,             0.25217,            0.041813,            0.022247,            0.018228,            0.009505,            0.009505,            0.009505
                   7,            0.044317,            0.035228,            0.021531,               0.556,             0.46967,             0.48487,             0.24017,            0.044121,            0.022753,            0.018169,            0.009406,            0.009406,            0.009406
                   8,            0.043932,            0.035203,            0.020937,             0.55355,             0.46387,             0.48359,             0.24864,            0.041422,             0.02172,            0.017523,            0.009307,            0.009307,            0.009307
                   9,            0.043489,            0.034412,            0.020583,             0.58967,             0.50963,             0.53555,             0.28173,             0.04207,            0.021959,            0.015293,            0.009208,            0.009208,            0.009208
                  10,            0.043338,            0.034891,            0.020107,             0.60312,             0.52556,              0.5478,              0.2929,            0.040933,            0.021707,            0.015982,            0.009109,            0.009109,            0.009109
                  11,            0.043137,            0.034996,            0.019591,             0.56624,             0.49452,              0.5077,              0.2695,            0.040889,             0.02226,            0.017352,             0.00901,             0.00901,             0.00901
                  12,            0.042558,            0.034827,            0.019515,              0.5274,             0.44689,             0.44737,             0.23262,            0.042589,            0.022157,            0.017213,            0.008911,            0.008911,            0.008911
